,hhid,group_id_x,totformalborrow_24,totinformalborrow_24,hhinc,hhnomembers_x,survey_round,hhinc_24,totformalborrow_24_top_coded,totinformalborrow_24_top_coded,hhinc_top_coded,hhinc_24_top_coded,total_borrowed_amount,pair_id,treated,daily_per_capita_income,below_poverty_line,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
38,2865.0,22.0,160000,65000,6700,4,Endline I,160800,160000.0,65000.0,6700.0,160800.0,225000,26,1,55.833333333333336,1,Male (1),48.0,14 years (Class 12/HSC),1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
39,2879.0,128.0,45000,30000,7500,4,Endline II,180000,45000.0,30000.0,7500.0,180000.0,75000,13,1,62.5,1,Male (1),39.0,11 years,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
40,2958.0,77.0,50000,30000,720,4,Endline II,17280,50000.0,30000.0,720.0,17280.0,80000,5,1,6.0,0,Male (1),50.0,8 years,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,3102.0,40.0,20000,6000,4500,4,Endline I,108000,20000.0,6000.0,4500.0,108000.0,26000,34,0,37.5,1,Female (0),45.0,3-7 years (Classes 1-5),0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
42,3250.0,13.0,50000,25000,1200,6,Endline II,28800,50000.0,25000.0,1200.0,28800.0,75000,15,1,6.666666666666667,0,Female (0),39.0,11 years,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,3311.0,16.0,97000,30000,100000,8,Endline II,2400000,97000.0,30000.0,100000.0,2400000.0,127000,15,0,416.6666666666667,1,Male (1),55.0,10 years,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
44,3331.0,96.0,68000,50000,1500,2,Endline II,36000,68000.0,50000.0,1500.0,36000.0,118000,14,0,25.0,0,Female (0),45.0,0 years,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,3376.0,4.0,129000,30000,11000,2,Endline II,264000,129000.0,30000.0,11000.0,264000.0,159000,31,0,183.33333333333334,1,Male (1),33.0,11 years,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,3528.0,98.0,72000,15000,8500,5,Endline II,204000,72000.0,15000.0,8500.0,204000.0,87000,16,1,56.666666666666664,1,Male (1),30.0,0 years,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
47,3530.0,87.0,50000,10000,5000,3,Endline I,120000,50000.0,10000.0,5000.0,120000.0,60000,10,1,55.55555555555555,1,Male (1),37.0,3-7 years (Classes 1-5),1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
